,Year,Country,Total Events,Total +AvgTone,Total -AvgTone,Total Netral AvgTone,AvgTone,+AvgTone,-AvgTone,Weighted AvgTone,GDP growth,Inflation,FDI,CAB,Unemployment
69,2012,MMR,44377,44086,0,291,5.6302628484585595,5.6302628484585595,0.0,5.56693032727582,7.33267044715451,3.13009695252966,2.22540065131688,-2.10158998772926,
70,2013,MMR,18308,17963,0,345,2.48898346752938,2.48898346752938,0.0,2.34096302957136,8.426001024851871,4.37807084326613,3.74085600548328,-0.6447396956222471,
71,2014,MMR,15282,14803,159,320,2.3862846002941405,2.4323002629599197,-0.046015662665783,2.38913692150073,7.99124334352032,4.17353811733807,3.32335345474091,-3.25325038387328,
72,2015,MMR,25760,9118,16139,503,-1.7906047562402099,0.7234305767778951,-2.5140353330181,-1.8355441241236499,6.99251557410656,4.13662553684723,6.8420485621765,-4.75423236120592,0.765900015830994
73,2016,MMR,22970,7226,15242,502,-1.89337937902076,0.6333635069955611,-2.52674288601633,-2.38477775157175,5.87198222637582,3.5555175282216096,5.18480249578167,-2.78510264154052,
74,2017,MMR,28100,5291,22468,341,-3.1788056030297596,0.40266553903013197,-3.5814711420599004,-4.0291481092095,6.36884052643458,10.2499,6.758146295802192,-5.69125865430749,1.55110001564026
75,2003,MYS,11652,11608,0,44,5.31879482067117,5.31879482067117,0.0,5.3743782570402,5.78849928090706,3.2992024425404503,2.92094209456765,12.142350556034401,3.60999989509583
76,2004,MYS,8047,8037,0,10,5.15383752773712,5.15383752773712,0.0,5.18083429798514,6.78343773628363,6.0095062279616105,3.50786522068393,12.087748312938096,3.5399999618530296
77,2005,MYS,6488,6452,2,34,5.148643050780941,5.15045785966377,-0.001814808882829,5.20964192404913,5.33213913924246,8.86235684942822,2.73439312562665,13.9199994956448,3.52999997138977
78,2006,MYS,13929,13885,5,39,5.70473844822237,5.706387138693151,-0.0016486904707770002,5.90031899479825,5.5848470688658605,3.98075743636927,4.72720240947838,16.1038501796188,3.30870008468628
79,2007,MYS,22808,22760,6,42,5.6477684277239,5.6485387016817,-0.000770273957802,5.674972696289769,6.29878592735085,4.881499101826219,4.6868880488533895,15.3812595680627,3.3138999938964804
80,2008,MYS,30928,30865,8,55,5.55612314775,5.55674474927853,-0.000621601528537,5.56201382276937,4.83176989511323,10.3887570212799,3.2807912965275,16.859651814178697,3.33960008621216
81,2009,MYS,58570,58435,0,135,5.56788198050164,5.56788198050164,0.0,5.5356069542453,-1.51352872655639,-5.9920975424694,0.0566922787314354,15.723000169259699,3.6182999610900897
82,2010,MYS,50317,50174,0,143,5.53444077288521,5.53444077288521,0.0,5.44619927536958,7.4248473927781,7.266866569505369,4.26859027533685,10.0557447117162,3.31970000267029
83,2011,MYS,62244,62008,0,236,5.56872355020524,5.56872355020524,0.0,5.387813958939941,5.2939128402282,5.41240808398462,5.07443251972248,10.9049942367115,3.08570003509521
84,2012,MYS,65868,65372,0,496,5.1843553954028305,5.1843553954028305,0.0,5.06853260315559,5.47345419229524,0.999932303703858,2.8290564659394004,5.188771397918671,3.03800010681152
85,2013,MYS,80873,78808,0,2065,2.46113549482852,2.46113549482852,0.0,2.41706352617398,4.6937225201998,0.174474486468412,3.49430152561612,3.46613288891246,3.14129996299744
86,2014,MYS,118478,113588,1833,3057,2.06110452773555,2.11916538204236,-0.058060854306822,1.71304961035392,6.00672194999372,2.4674667793993703,3.1412678501571203,4.39164342217662,2.88949990272522
87,2015,MYS,124911,44217,77942,2752,-1.4862413370744199,0.811048698440791,-2.2972900355152004,-2.34056982542677,5.028006348961768,-0.37450458848911705,3.32524680778241,3.0589065398461903,3.0999999046325697
88,2016,MYS,110836,32429,75843,2564,-1.80505211599323,0.6246982005594711,-2.42975031655269,-2.31183332255656,4.219851319643951,1.9512063476409096,4.54248146395855,2.40537153849742,3.4400000572204603
89,2017,MYS,100946,31655,67173,2118,-1.9011228784220902,0.715986727071985,-2.6171096054940697,-2.9986810728465003,5.90176922237052,3.81956219393183,3.02438256563181,3.00476333810772,3.4077000617981
90,2003,PHL,19118,19031,0,87,4.85249206599649,4.85249206599649,0.0,4.89342570047563,4.97036869699237,3.20132792259547,0.586355041603849,0.33965688385588805,3.52729988098145
91,2004,PHL,12246,12186,0,60,5.06020587713167,5.06020587713167,0.0,5.09715169630947,6.697623614410089,5.51688658239,0.64790626003236,1.77845890633883,3.5534999370575
