,Year,Country,Total News,Total Neg_AvgTone,Total Pos_AvgTone,Total Netral AvgTone,AvgTone,AvgTone2,Pos_AvgTone,Weighted AvgTone,GDP growth,Inflation,FDI,CAB,TaxRev,Unemployment,GDP Capita,Export,Import,AvgTone_Norm
42,2015,PHL,140968,59914.0,78204.0,2850.0,-0.9309507774805179,-0.9501605091289598,2.430461616974485,-1.3017876532722956,6.0665489034551,-0.586573663833178,1.92611162697168,2.48166691599405,13.6276037796914,,4.38340689037385,8.47974783176051,14.622902391376199,0.2846980366594565
43,2016,PHL,179471,53686.0,122415.0,3370.0,-1.9097412789214896,-1.9462875115378035,2.189178013662387,-2.5487112430442767,6.87571482288942,1.69909619389745,2.71559358134654,-0.393216590022997,13.676778835636599,2.70779991149902,5.21665910964305,10.681005620088,18.5021519596181,-0.24426594179739736
44,2017,PHL,162792,46533.0,113467.0,2792.0,-2.2552874629600077,-2.2946422291886592,2.3251677795008856,-3.0562757406128727,6.68451750279448,2.32070851029395,3.20712416774582,-0.802866610296568,,2.5518000125885,5.0597473929578,19.205120074067302,17.604420798865398,-0.634710106516758
45,2003,SGP,5272,5257.0,0.0,15.0,5.1784160770673235,5.193191850541932,5.193191850541932,5.2316224558450655,4.435328147081719,-1.70764029576796,17.5785340170205,22.8318509218368,12.528713731347196,4.19600009918213,5.98667077922758,14.2128672301968,9.98036592804456,0.16101615071046105
46,2004,SGP,3748,3726.0,0.0,22.0,5.633898368771428,5.667163469177487,5.667163469177487,5.669425195572585,9.549175476457119,4.2499030574394,21.3596831843793,18.1878439084477,11.690582715678401,4.40000009536743,8.18626016618767,19.090174257732198,22.192032912609896,0.5983600264262794
47,2005,SGP,3202,3187.0,2.0,13.0,5.638027078868856,5.661010569626237,5.665592343666402,5.753622074145816,7.48915745881868,2.22616880307329,14.1976598856178,22.0570981174548,11.6124560294991,3.4000000953674303,4.992074751003759,12.4946774639026,11.498559872224,0.6140302774808601
48,2006,SGP,5502,5474.0,6.0,22.0,5.865592585226411,5.889140584656153,5.8983138963862345,5.786741707084935,8.8601961142317,1.71998437566951,24.9828046090484,25.1290318733002,11.8977154172078,2.9000000953674303,5.506289048201469,11.1519600007673,11.145111827843301,0.5806182014743673
49,2007,SGP,9927,9896.0,6.0,25.0,5.853912592106661,5.868692213880309,5.875010459109738,5.846893867005662,9.11152714756238,5.8609939478857,26.521206815507398,26.058607907656608,12.888857429572301,2.9000000953674303,4.659321218487579,8.59551132714007,7.452446410743799,0.61209774095596
50,2008,SGP,12120,12065.0,6.0,49.0,5.707396586978789,5.730564711638053,5.7353188062730425,5.729746352743408,1.78762022808476,-1.49161008378701,6.347066869875832,14.478429349614403,13.8535718014975,2.79999995231628,-3.48742438292516,4.83496820770262,10.330058816681197,0.564804192436422
51,2009,SGP,22541,22443.0,0.0,98.0,5.878210413710067,5.903878311074217,5.903878311074217,5.707108734733341,-0.6033882983675339,3.5210188950604904,12.380546387128598,16.8485171123675,13.0723438315146,4.099999904632569,-3.55638602534071,-7.655751076510509,-10.5578983741046,0.6141648990437485
52,2010,SGP,20164,20074.0,0.0,90.0,5.772409982982339,5.798290071577956,5.798290071577956,4.871157270426638,15.240377035941501,-0.0459876080012123,23.2955964706858,23.441580934642896,12.9690275904878,2.07229995727539,13.2164930144593,17.4390511029447,16.2996584735348,0.5328327868216913
53,2011,SGP,26774,26643.0,0.0,131.0,5.928570963701921,5.957720939164329,5.957720939164329,5.5953669520207665,6.350673204676402,1.247837140627,17.812155232224,22.150185461982197,13.266440264676001,1.87109994888306,4.15631995593162,6.6729087582529285,5.20558039389798,0.6058869503391042
54,2012,SGP,28202,27978.0,0.0,224.0,5.582428334557852,5.627122878375884,5.627122878375884,5.2601119258416915,4.08329765028593,0.545308470392698,19.3307336249403,17.0035630982975,13.786875276837304,1.7853000164032,1.56079799726854,1.69949284841286,2.703930454208669,0.5391416310538055
55,2013,SGP,28208,27297.0,0.0,911.0,2.737989374300253,2.8293660208177283,2.8293660208177283,2.6431398364476366,5.11108725924601,-0.224575002338085,21.1794457057195,16.5211803644284,13.407340384398804,1.70799994468689,3.4227217235280403,5.946698935464621,6.0077241979359615,0.18928960458209376
56,2014,SGP,35281,33871.0,376.0,1034.0,2.6735993697121323,2.754321819803596,2.81932930730574,2.465986275811816,3.88388730533306,-0.25475061526808,22.3222539971128,18.680200695827,13.700662973712301,1.6868000030517598,2.5437365306250697,3.35574278516316,2.9449212994363303,0.3139678830645529
57,2015,SGP,57780,32926.0,23397.0,1457.0,0.17188042760716113,0.1763267423102777,2.4994552753310484,-0.36153438302698826,2.24105796825458,3.58655748918486,23.214700740582103,18.5771805921853,13.308565764497,1.69260001182556,1.03526043068337,4.73901362878712,4.10540128898114,1.3875292417471354
58,2016,SGP,62403,30123.0,30701.0,1579.0,-0.4957666756945244,-0.5086368516270783,2.4172220870956056,-1.3306469713742817,2.39702145797342,-0.0364671237737895,23.970847551014,18.9966116062521,13.708262154431901,1.80260002613068,1.0770668368131,1.10481494115704,0.111850183604219,1.169708661429568
59,2017,SGP,49594,24704.0,23702.0,1188.0,-0.4007477658842197,-0.4105830827017724,2.4865039386631556,-1.3587656796231369,3.61854233591816,0.8703980421760631,19.6455735935145,18.829014548154106,,1.89890003204346,3.52678165524152,4.0962615539444,5.2461878564801605,1.21982959055903
60,2003,THA,11942,11890.0,0.0,52.0,5.306247077822978,5.329453541073339,5.329453541073339,5.352694057337659,7.189329964860518,2.14945025946048,3.4359389839969103,3.1335632134696096,14.481571095597902,2.1800000667572,6.389352096313571,9.13382779785333,11.096154570160902,0.2888471514661157
